Affiliated Research Centers,Affiliated Research Labs,Broad Research Areas,DBLP name (all entries):,Department (home),Faculty Update Table,Google Scholar URL,Home page:,Name,Research Areas,Research Areas - Split 1,Research Areas - Split 10,Research Areas - Split 2,Research Areas - Split 3,Research Areas - Split 4,Research Areas - Split 5,Research Areas - Split 6,Research Areas - Split 7,Research Areas - Split 8,Research Areas - Split 9
,,"Information Security,Data Privacy,Data Science",Liyue Fan,CS,,https://scholar.google.com/citations?user=mPJmXakAAAAJ&hl=en,https://webpages.uncc.edu/lfan4/,Liyue Fan,"Spatio-temporal Data Management,Data Privacy",Spatio-temporal Data Management,,Data Privacy,,,,,,,
,Fodor Lab,"Pipeline Automation,Impact of microbial community on host health,Analysis of Multivariate Datasets","Anthony Fodor, Anthony A. Fodor",Bioinformatics,,https://scholar.google.com/citations?user=O2Jew4sAAAAJ&hl=en&oi=ao,http://fodorwebsite.appspot.com,Anthony Fodor,"Bioinformatics,Genomics",Bioinformatics,,Genomics,,,,,,,
CEI (Center for Education Innovation),,"Computer Science Education,Organizational Science,Intersectionality Theory","Tonya Frevert, Tonya K. Frevert",SIS,,https://scholar.google.com/citations?user=4OIxEZcAAAAJ&hl=en,forthcoming,Tonya Frevert,Faculty website not up yet,Faculty website not up yet,,,,,,,,,
,Health Informatics Lab,"Data Integration,Machine Learning,Health Informatics",Yaorong Ge,SIS,,https://scholar.google.com/citations?user=ocq6qCcAAAAJ&hl=en,https://cci-hit.uncc.edu/,Yaorong Ge,"Health Informatics,Medical Imaging,Data Analytics,Machine Learning,Decision Support Systems",Health Informatics,,Medical Imaging,Data Analytics,Machine Learning,Decision Support Systems,,,,
,,"Design Neurocognition,Design Cognition,AI and Design",John S. Gero,CS,,https://scholar.google.com/citations?user=3jv77YgAAAAJ&hl=en,http://mason.gmu.edu/~jgero/,John Gero,"Design Cognition and Neurocognition,Design Computing,Design Education,Artificial Intelligence",Design Cognition and Neurocognition,,Design Computing,Design Education,Artificial Intelligence,,,,,
,Gibas Lab,"Microbiology,Environmental Metagenomics,Genomics","Cynthia Gibas, Cynthia J. Gibas",Bioinformatics,,https://scholar.google.com/citations?user=MHcra3EAAAAJ&hl=en,https://cci.uncc.edu/directory/gibas-cynthia,Cynthia Gibas,"Genomics,Microbiology,Bioinformatics,Biophysics,Data Visualization,Metagenomics",Genomics,,Microbiology,Bioinformatics,Biophysics,Data Visualization,Metagenomics,,,
BRC (Bioinformatics Research Center),Guo Lab,"Computational Modeling,protein-DNA interaction,Structural Bioinformatics",Jun-Tao Guo,Bioinformatics,,https://scholar.google.com/citations?user=3FwYRdMAAAAJ&hl=en,https://guolab.uncc.edu,Jun-Tao Guo,"Structural Bioinformatics,Computational Biology,Protein-DNA Interactions,Indels and Alternative Splicing,Protein Structure Prediction",Structural Bioinformatics,,Computational Biology,Protein-DNA Interactions,Indels and Alternative Splicing,Protein Structure Prediction,,,,
CSI (Complex Systems Institute),,"Machine Learning,Simulation of Social Systems,Modeling,Complex Adaptive Systems",Mirsad Hadzikadic,SIS,,https://scholar.google.com/citations?user=SiFFNkgAAAAJ&hl=en,http://webpages.uncc.edu/mirsad/,Mirsad Hadzikadic,"Data Mining,Machine Learning,Social Theory,Game Theory,Decision Making,Agent Based Simulation,Health Informatics,Complex Systems,Public Policy",Data Mining,,Machine Learning,Social Theory,Game Theory,Decision Making,Agent Based Simulation,Health Informatics,Complex Systems,Public Policy
,Janies Lab,,"Daniel Janies, Daniel A. Janies",Bioinformatics,,https://scholar.google.com/citations?user=9Qsi1r4AAAAJ&hl=en,https://cci.uncc.edu/directory/janies-daniel,Daniel Janies,"Phylogenetics,Infectious Diseases,Biogeography,Echinoderms",Phylogenetics,,Infectious Diseases,Biogeography,Echinoderms,,,,,
,,,"Jeremy Jay, Jeremy J. Jay",Bioinformatics,,https://scholar.google.com/citations?user=chz2jygAAAAJ&hl=en,https://cci.uncc.edu/directory/jeremy-jay,Jeremy Jay,"Bioinformatics,Data Integration,Knowledge Discovery,Databases,Graph Theory",Bioinformatics,,Data Integration,Knowledge Discovery,Databases,Graph Theory,,,,
CSI (Complex Systems Institute),,"Complexity Methodologies,Policy,Complex Systems",,CS,,,,Liz Johnson,Faculty website not up yet,Faculty website not up yet,,,,,,,,,
,,,Siddharth Krishnan,CS,,"https://scholar.google.com/citations?user=I8HrLhQAAAAJ&hl=en
",https://cci.uncc.edu/directory/krishnan-siddharth,Siddharth Krishnan,"Data Science,Machine Learning,Social Computing,Network Analytics",Data Science,,Machine Learning,Social Computing,Network Analytics,,,,,
